Prod_ID;Prod_model;Parent_ID;Prod_Status;Prod_tax;Prod_sort;Prod_lang;Product_Name;Manufacturer;Manuf_number;Manufacturer lookup;Manu_ID lookup;ProductDescription1;Images;Images_MED;Images_LRG;ShippingWeight;Weight;Caliber;Velocity;InStockQuantity;QBItem;WNet;CAD;GST;Duty 6.5%;Shipping;Cad_COST;CAD_Selling;SmallImageURL;Prod_Category;PRODUCT_CAY_NUM;CATEGORY;CATNUM; AI;AJ;SKU;Category1
1;jsb17784;0;1;1;0;1;JSB Match Diabolo Exact .177 Cal, 8.4 Grains, Domed, 500ct;0;0;;;"Caliber:	0.177"" (4.5mm)

Ammo Type:	Pellets

Weight:	8.4gr

Pellet Shape:	

Head Size:	4.52 mm

Quantity:	500";subproducts/j17784.jpg;subproducts/j17784.jpg;subproducts/j17784.jpg;;0.35;;;0;;;;;;;;12;subproducts/j17784.jpg;;2;Ammunition;1;;;PY-470;AIRSOFT GUNS
2;jsb17773;0;1;1;0;1;JSB Match Diabolo Exact RS .177 Cal, 7.33 Grains, Domed, 500ct;0;0;;;"Caliber:	0.177"" (4.5mm)

Ammo Type:	Pellets

Suggested for:	Target practice/Fun

Weight:	7.33gr

Pellet Shape:	

Head Size:	4.52 mm

Quantity:	500";subproducts/jsb733.jpg;subproducts/jsb733.jpg;subproducts/jsb733.jpg;;0.45;;;0;;;;;;;;12;subproducts/jsb733.jpg;;2;Pellets;2;;;PY-623;AIRSOFT GUNS
3;REM-23711;0;1;1;0;1;L223R3 UMC 223 REM 55GR FMJ AMMO box 20;0;0;;;"20 rounds per box, 10 boxes per case, 5 cases per 1000 round lot

Remington 223 with brass cases that are fully reloadable, non-magnetic 55 grain FMJ bullet. Ideal for target practice";subproducts/l223r3.jpg;subproducts/l223r3.jpg;subproducts/l223r3.jpg;;0.35;;;10;;;;;;;;10.99;subproducts/l223r3.jpg;;1;Firearms;3;;;PY-634;AIRSOFT GUNS
4;sw686;0;1;1;0;1;Smith & Wesson 686 - .357 Magnum;0;0;;;"Model: 686P

Caliber: .357MAG/.38+P

Capacity: 7 Rounds

Barrel Length: 6""

Front Sight: Red Ramp Front

Rear Sight: White Outline Adjustable Rear

Grip: Rubber Grips

Frame: Medium

Finish: Satin Stainless

Overall Length: 12""

Material: Stainless Steel
";subproducts/sw686.jpg;subproducts/sw686.jpg;subproducts/sw686.jpg;;2;;;1;;;;;;;;989.99;subproducts/sw686.jpg;;3;Air Guns;4;;;PY-664;AIRSOFT GUNS
5;sxp;0;1;1;0;1;Winchester® SXP Marine Defender Pump-Action Shotgun;0;0;;;"Winchester

Winchester® SXP Marine Defender Pump-Action Shotgun





        Inflex Technology recoil pad reduces flinch and fatigue

        Tactical-ribbed forearm provides enhanced control

        Textured, non-slip stock



From wet and windy days on";subproducts/sxp.jpg;subproducts/sxp.jpg;subproducts/sxp.jpg;;3;;;1;;;;;;;;399.99;subproducts/sxp.jpg;;3;Target Accessories;5;;;PY-676;AIRSOFT GUNS
6;556e;0;1;1;0;1;Ruger SR-556E;0;0;;;"R-556E Autoloading Rifle 5.56mm NATO/.223 Remington 16.12 Inch Barrel Black Anodized Finish 6-Position Stock A2-Style Pistol Grip.

 This is a Restricted Firearm.

Features a round, lightweight adaptable handguard with a full-length Picatinny rail at the ";subproducts/sr556e.jpg;subproducts/sr556e.jpg;subproducts/sr556e.jpg;;3;;;1;;;;;;;;1299.99;subproducts/sr556e.jpg;;3;Air Tanks;6;;;PY-702-1363;AIRSOFT GUNS
7;jsb17710;0;1;1;0;1;JSB Diabolo Exact Heavy .177 Cal, 10.34 Grains, Domed, 500ct;0;0;;;"Caliber:	0.177"" (4.5mm)

Ammo Type:	Pellets

Weight:	10.34gr

Pellet Shape:	

Head Size:	4.52 mm

Quantity:	500";subproducts/jsb1034.jpg;subproducts/jsb1034.jpg;subproducts/jsb1034.jpg;;0.35;;;1;;;;;;;;16;subproducts/jsb1034.jpg;;2;Gun Cleaning;7;;;PY-702-5362;AIRSOFT GUNS
8;jsb177134;0;1;1;0;1;JSB Exact Monster .177 Cal, 13.4 Grains, Cylindrical, 400ct;0;0;;;"Caliber:	0.177"" (4.5mm)

Ammo Type:	Pellets

Weight:	13.4gr

Pellet Shape:	

Quantity:	400";subproducts/JSB177134.jpg;subproducts/JSB177134.jpg;subproducts/JSB177134.jpg;;0.45;;;4;;;;;;;;14;subproducts/JSB177134.jpg;;2;Magazines;8;;;PY-702;AIRSOFT GUNS
9;czombie;0;1;1;0;1;Crosman Zombie Field Target, 4 Kill-Zone Reducers, Reset String;0;0;;;"Crosman zombie field target

    1-1/2"" kill zone in zombie&#39;s forehead

    Hit the kill zone with your pellet, and the entire zombie head falls flat

    Heavy steel construction

    Pull the reset string to pull the zombie target upright, again

  ";subproducts/zombie.jpg;subproducts/zombie.jpg;subproducts/zombie.jpg;;1.5;;;2;;;;;;;;29.99;subproducts/zombie.jpg;;5;Air Target Catalog;9;;;PY-743-1413;AIRSOFT GUNS
10;gsqu;0;1;1;0;1;Gamo Squirrel Field Target w/4 Kill-Zone Reducers;0;0;;;Great airgun fun. When the colored kill zone is hit, the target falls. To reset, simply pull the cord. Target and kill-zone reducers are solid steel construction. Includes anchoring stakes and reset pull cord. These targets are intended for use with .177-;subproducts/gsquirrel.jpg;subproducts/gsquirrel.jpg;subproducts/gsquirrel.jpg;;1.5;;;2;;;;;;;;29.99;subproducts/gsquirrel.jpg;;5;In Stock items;10;;;PY-743-6033;AIRSOFT GUNS
11;gsil;0;1;1;0;1;GAMO Interchangeable Silhouettes for GAMO Knock-Over Squirrel Ta;0;0;;;"For use with the GAMO Squirrel Knock-Over Target (Sold Separately) these replacement Faceplate&#39;s give you the option of replacing the default Squirrel silhouette with your choice of Rabbit, Chicken, Turkey, Pig, Pigeon or Ram silhouettes. The scoring ";subproducts/silhouettes.jpg;subproducts/silhouettes.jpg;subproducts/silhouettes.jpg;;1.5;;;2;;;;;;;;29.99;subproducts/silhouettes.jpg;;5;AIR PISTOLS;11;;;PY-743;AIRSOFT GUNS
13;38special;0;1;1;0;1;GECO 38 SPECIAL 158GR JHP;0;0;;;".38 Special - 10,2 g / 158 gr

Geco revolver ammunition

FMJ (Full Metal Jacket)



FMJ bullets have a technically simple design that is favorable for production, making them especially interesting for shooters who engage in intensive training. The ogival";subproducts/38special.png;subproducts/38special.png;subproducts/38special.png;;0.45;;;2;;;;;;;;28.99;subproducts/38special.png;;1;AIR RIFLES;12;;;PY-744;AIRSOFT GUNS
14;22trace;0;1;1;0;1;Pinery .22 Tracer Red Ammo Box 50;0;0;;;"Our .22LR Rimfire Cartridges are designed for use in rifles, and will function in most auto-loading firearms. They are visible in day or night, and our brightly colored tracers can provide immediate feedback for shooting practices.



They are available i";subproducts/22trace.jpg;subproducts/22trace.jpg;subproducts/22trace.jpg;;0.35;;;1;;;;;;;;39.99;subproducts/22trace.jpg;;1;AIRFORCE ACCESSORIES;13;;;PY-762;AIRSOFT GUNS
18;HOP-24011V;0;1;1;0;1;BORESNAKE 22/223 5.56 CAL RIFLE VIPER;0;0;;;"NEW BORESNAKE® VIPER



Everything you love about the BoreSnake plus better cleaning and superior strength.



    Brass weight on the pull cord is stamped with size

    50% more brush cleaning power

    Cone-shaped bore guide on the leading end

    Ny";subproducts/VIPER.JPG;subproducts/VIPER.JPG;subproducts/VIPER.JPG;;0.25;;;1;;;;;;;;24.99;subproducts/VIPER.JPG;;7;AIRSOFT ACCESSORIES;14;;;PY-775;AIRSOFT GUNS
19;HOP-24035V;0;1;1;0;1;BORESNAKE 12 GAUGE SHOTGUN VIPER;0;0;;;"NEW BORESNAKE® VIPER



Everything you love about the BoreSnake plus better cleaning and superior strength.



    Brass weight on the pull cord is stamped with size

    50% more brush cleaning power

    Cone-shaped bore guide on the leading end

    Ny";subproducts/VIPER.JPG;subproducts/VIPER.JPG;subproducts/VIPER.JPG;;0.35;;;10;;;;;;;;27.99;subproducts/VIPER.JPG;;7;AIRSOFT BATTERIES;15;;;PY-784;AIRSOFT GUNS
20;HOP-24002V;0;1;1;0;1;BORESNAKE 9MM 38/357 PISTOL VIPER;0;0;;;"NEW BORESNAKE® VIPER



Everything you love about the BoreSnake plus better cleaning and superior strength.



    Brass weight on the pull cord is stamped with size

    50% more brush cleaning power

    Cone-shaped bore guide on the leading end

    Ny";subproducts/VIPER.JPG;subproducts/VIPER.JPG;subproducts/VIPER.JPG;;0.25;;;1;;;;;;;;24.99;subproducts/VIPER.JPG;;7;AIRSOFT CHARGERS;16;;;PY-792;AIRSOFT GUNS
21;HOP-24015V;0;1;1;0;1;BORESNAKE 30-308 CAL RIFLE VIPER;0;0;;;"NEW BORESNAKE® VIPER



Everything you love about the BoreSnake plus better cleaning and superior strength.



    Brass weight on the pull cord is stamped with size

    50% more brush cleaning power

    Cone-shaped bore guide on the leading end

    Ny";subproducts/VIPER.JPG;subproducts/VIPER.JPG;subproducts/VIPER.JPG;;0.25;;;1;;;;;;;;24.99;subproducts/VIPER.JPG;;7;AIRSOFT GUNS;17;;;PY-793;AIRSOFT GUNS
22;HOP-1202;0;1;1;0;1;22 TO 270 CAL CLEANING PATCHES;0;0;;;"For Small Bore, 17HMR and .204 Caliber.



    Uniformly woven patches

    Ultra-absorbent

    Pre-cut caliber and gauges

    60 per pack";subproducts/patch.jpg;subproducts/patch.jpg;subproducts/patch.jpg;;0.25;;;1;;;;;;;;1.99;subproducts/patch.jpg;;7;AIRSOFT MAGAZINES/CLIPS;18;;;PY-795;AIRSOFT GUNS
23;HOP-1203;0;1;1;0;1;270 TO 35 CAL CLEANING PATCHES;0;0;;;"Uniformly woven patches

    Ultra-absorbent

    Pre-cut caliber and gauges

    60 per pack";subproducts/patch.jpg;subproducts/patch.jpg;subproducts/patch.jpg;;0.25;;;1;;;;;;;;1.99;subproducts/patch.jpg;;7;AIRSOFT MASKS/GOGGLES;19;;;PY-801;AIRSOFT GUNS
24;HOP-1204;0;1;1;0;1;38 TO 45 CAL CLEANING PATCHES;0;0;;;"Uniformly woven patches

    Ultra-absorbent

    Pre-cut caliber and gauges

    60 per pack";subproducts/patch.jpg;subproducts/patch.jpg;subproducts/patch.jpg;;0.25;;;1;;;;;;;;1.99;subproducts/patch.jpg;;7;AMMO;20;;;PY-830;AIRSOFT GUNS
25;HOP-1380P;0;1;1;0;1;BRONZE UTILITY BRUSH;0;0;;;"Choose nylon or phosphor bronze bristles.

    Two bristled ends – one for large areas, the other for tight spots.

    Intense scrubbing without scratching.

    Extremely rugged design.

    Ideal for breeches and myriad other uses.";subproducts/bbrush.jpg;subproducts/bbrush.jpg;subproducts/bbrush.jpg;;0.25;;;1;;;;;;;;3.99;subproducts/bbrush.jpg;;7;ANIMAL TARGETS;21;;;PY-843;AIRSOFT GUNS
26;lar15;0;1;1;0;1;LAR 10 round Magazine for AR;0;0;;;"10 Round LAR-15 &#39;Pistol&#39; Magazines fit all standard .223/5.56 AR Rifles and Pistols...  



Classified by the RCMP as &#39;Pistol Magazines&#39; they are manufactured exclusively for Questar by Ammunition Storage Components (ASC) using the same dr";subproducts/lar.jpg;subproducts/lar.jpg;subproducts/lar.jpg;;0.36;;;5;;;;;;;;24.99;subproducts/lar.jpg;;8;BLANK FIRING GUNS;22;;;PY-850;AIRSOFT GUNS
27;BAL6OZ;0;1;1;0;1;"Ballistol Sportsman&#39;s Gun Oil 6 oz Aerosol";0;0;;;"Product Information

 Ballistol Sportsman&#39;s Gun Oil is all-natural, non-toxic and does not lose its ability to lubricate even when mixed with water. Cleans black powder residue and is not petro-chemical based, so it will not affect a ""seasoned"" muzzle";subproducts/ballistol.jpg;subproducts/ballistol.jpg;subproducts/ballistol.jpg;;0.5;;;12;;;;;;;;9.99;subproducts/ballistol.jpg;;7;BOWS;23;;;PY-851;AIRSOFT GUNS
28;BALWIPE;0;1;1;0;1;Ballistol Wipes, Individually Packaged;0;0;;;"Ballistol is known as Germany&#39;s Wonder oil. These multi-purpose wipes are individually packed and are super convenient and eco-friendly! We recommend wiping carbon steel straight razors down with Ballistol to prevent rust and stop corrosion. Can also ";subproducts/balwipes.jpg;subproducts/balwipes.jpg;subproducts/balwipes.jpg;;0.15;;;24;;;;;;;;0.99;subproducts/balwipes.jpg;;7;CASES: RIFLE, PISTOL AND BOW;24;;;PY-857;AIRSOFT GUNS
29;PY-A-3410;0;1;1;0;1;5.11 Rapid Assault Shirt, MultiCam, Small;5.11 Tactical;1;5.11 Tactical;1;The 5.11 Rapid Assault Shirt, MultiCam is a durable Ω zip front pullover that offers maximum comfort and superb range of motion. This high quality shirt features a cotton, polyester, and spandex knit body with camouflage cotton and polyester ripstop sleeves and collar. The mesh panels of this shirt allow excellent breathability under skirmish body armor. The 5.11 Rapid Assault Shirt, MultiCam is an excellent value for airsoft enthusiasts who are looking for a functional and well ventilated shirt to wear in the battlefield. Order the genuine article today!       Features:   Authentic MultiCam Pattern  Saddle-shoulder design for range of movement  Body - 55% cotton/37% polyester/8% spandex knit  Sleeves and collar - 65% cotton/35% polyester ripstop Mesh - 55% cotton/39% poly/4% spandex/3% nylon Imported  ;pyr/511-multi-cam-shirt-72185-L-MC.jpg;pyr/511-multi-cam-shirt-72185-L-MC.jpg;pyr/511-multi-cam-shirt-72185-L-MC.jpg;1;0.45;;;100;72185-S-MC;59.93;65.81;3.29;4.49;2;72.3;86.76;pyrsm/511-multi-cam-shirt-72185-L-MC_sm.jpg;OUTDOOR GEAR;37;CHRONOGRAPHS;25;PY-A-3410;;PY-860;AIRSOFT GUNS
30;PY-A-3228;0;1;1;0;1;5.11 Tactical Cotton Pant, Black, 32x30;5.11 Tactical;1;A&K;2;"32&quot; waist, 30&quot; inseam  The 5.11 Tactical Pants have been standard issue clothing gear for military and law enforcement professionals throughout the world for over thirty years. Comfortable enough to be worn on, or off-duty, these pants have become iconic due to their unique look and feel. The rear slash pockets, utility strap, and roomy seven-pocket layout are all trademark features of these durable and versatile pants. Store spare magazines and other skirmish accessories with style in the field. Order the genuine article today! 5.11 Tactical Pants are available in a wide range of sizes to fit virtually anyone.       Features:  Legendary Fit Self Adjusting Waistband Locking-Flange Zippers ";pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;0.36;0.16;;;100;74251-3032BK;42.08;46.21;2.31;3.15;2;51.36;61.63;pyrsm/511-tactical-black-cotton-74251-pant_sm.jpg;OUTDOOR GEAR;37;CO2 ACCESSORIES ;26;PY-A-3228;;PY-869-1639;AIRSOFT GUNS
31;PY-A-3238;0;1;1;0;1;5.11 Tactical Cotton Pant, Black, 32x34;5.11 Tactical;1;Ace Case;3;"32&quot; waist, 34&quot; inseam  The 5.11 Tactical Pants have been standard issue clothing gear for military and law enforcement professionals throughout the world for over thirty years. Comfortable enough to be worn on, or off-duty, these pants have become iconic due to their unique look and feel. The rear slash pockets, utility strap, and roomy seven-pocket layout are all trademark features of these durable and versatile pants. Store spare magazines and other skirmish accessories with style in the field. Order the genuine article today! 5.11 Tactical Pants are available in a wide range of sizes to fit virtually anyone.     Features:   Legendary Fit Self Adjusting Waistband Locking-Flange Zippers ";pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;0.36;0.16;;;100;74251-3432BK;42.08;46.21;2.31;3.15;2;51.36;61.63;pyrsm/511-tactical-black-cotton-74251-pant_sm.jpg;OUTDOOR GEAR;37;CO2 BULK ACCESSORIES;27;PY-A-3238;;PY-869-4204;AIRSOFT GUNS
32;PY-A-3229;0;1;1;0;1;5.11 Tactical Cotton Pant, Black, 34x30;5.11 Tactical;1;Aftermath;4;"34&quot; waist, 30&quot; inseam  The 5.11 Tactical Pants have been standard issue clothing gear for military and law enforcement professionals throughout the world for over thirty years. Comfortable enough to be worn on, or off-duty, these pants have become iconic due to their unique look and feel. The rear slash pockets, utility strap, and roomy seven-pocket layout are all trademark features of these durable and versatile pants. Store spare magazines and other skirmish accessories with style in the field. Order the genuine article today! 5.11 Tactical Pants are available in a wide range of sizes to fit virtually anyone.     Features:  Legendary Fit Self Adjusting Waistband Locking-Flange Zippers ";pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;0.36;0.16;;;100;74251-3034BK;42.08;46.21;2.31;3.15;2;51.36;61.63;pyrsm/511-tactical-black-cotton-74251-pant_sm.jpg;OUTDOOR GEAR;37;EDUCATIONAL BOOKS, VIDEOS, CDS AND GAMES;28;PY-A-3229;;PY-869-4255;AIRSOFT GUNS
33;PY-A-3234;0;1;1;0;1;5.11 Tactical Cotton Pant, Black, 34x32;5.11 Tactical;1;AGM;5;"34&quot; waist, 32&quot; inseam  The 5.11 Tactical Pants have been standard issue clothing gear for military and law enforcement professionals throughout the world for over thirty years. Comfortable enough to be worn on, or off-duty, these pants have become iconic due to their unique look and feel. The rear slash pockets, utility strap, and roomy seven-pocket layout are all trademark features of these durable and versatile pants. Store spare magazines and other skirmish accessories with style in the field. Order the genuine article today! 5.11 Tactical Pants are available in a wide range of sizes to fit virtually anyone.     Features:   Legendary Fit Self Adjusting Waistband Locking-Flange Zippers ";pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;0.36;0.16;;;100;74251-3234BK;42.08;46.21;2.31;3.15;2;51.36;61.63;pyrsm/511-tactical-black-cotton-74251-pant_sm.jpg;OUTDOOR GEAR;37;GREEN GAS & RELATED ITEMS;29;PY-A-3234;;PY-869;AIRSOFT GUNS
34;PY-A-3230;0;1;1;0;1;5.11 Tactical Cotton Pant, Black, 36x30;5.11 Tactical;1;AIM Sports;6;"36&quot; waist, 30&quot; inseam  The 5.11 Tactical Pants have been standard issue clothing gear for military and law enforcement professionals throughout the world for over thirty years. Comfortable enough to be worn on, or off-duty, these pants have become iconic due to their unique look and feel. The rear slash pockets, utility strap, and roomy seven-pocket layout are all trademark features of these durable and versatile pants. Store spare magazines and other skirmish accessories with style in the field. Order the genuine article today! 5.11 Tactical Pants are available in a wide range of sizes to fit virtually anyone.     Features:  Legendary Fit Self Adjusting Waistband Locking-Flange Zippers ";pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;0.36;0.16;;;100;74251-3036BK;42.08;46.21;2.31;3.15;2;51.36;61.63;pyrsm/511-tactical-black-cotton-74251-pant_sm.jpg;OUTDOOR GEAR;37;HFC PARTS;30;PY-A-3230;;PY-884;AIRSOFT GUNS
35;PY-A-3231;0;1;1;0;1;5.11 Tactical Cotton Pant, Black, 38x30;5.11 Tactical;1;Air Venturi;7;"38&quot; waist, 30&quot; inseam  The 5.11 Tactical Pants have been standard issue clothing gear for military and law enforcement professionals throughout the world for over thirty years. Comfortable enough to be worn on, or off-duty, these pants have become iconic due to their unique look and feel. The rear slash pockets, utility strap, and roomy seven-pocket layout are all trademark features of these durable and versatile pants. Store spare magazines and other skirmish accessories with style in the field. Order the genuine article today! 5.11 Tactical Pants are available in a wide range of sizes to fit virtually anyone.     Features:   Legendary Fit Self Adjusting Waistband Locking-Flange Zippers ";pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;0.36;0.16;;;100;74251-3038BK;42.08;46.21;2.31;3.15;2;51.36;61.63;pyrsm/511-tactical-black-cotton-74251-pant_sm.jpg;OUTDOOR GEAR;37;KNIVES AND TOOLS;31;PY-A-3231;;PY-895;AIRSOFT GUNS
36;PY-A-3236;0;1;1;0;1;5.11 Tactical Cotton Pant, Black, 38x32;5.11 Tactical;1;AireTex;8;"38&quot; waist, 32&quot; inseam  The 5.11 Tactical Pants have been standard issue clothing gear for military and law enforcement professionals throughout the world for over thirty years. Comfortable enough to be worn on, or off-duty, these pants have become iconic due to their unique look and feel. The rear slash pockets, utility strap, and roomy seven-pocket layout are all trademark features of these durable and versatile pants. Store spare magazines and other skirmish accessories with style in the field. Order the genuine article today! 5.11 Tactical Pants are available in a wide range of sizes to fit virtually anyone.     Features:   Legendary Fit Self Adjusting Waistband Locking-Flange Zippers ";pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;pyr/511-tactical-black-cotton-74251-pant.jpg;0.36;0.16;;;100;74251-3238BK;42.08;46.21;2.31;3.15;2;51.36;61.63;pyrsm/511-tactical-black-cotton-74251-pant_sm.jpg;OUTDOOR GEAR;37;KWA AIRSOFT PARTS;32;PY-A-3236;;PY-916;AIRSOFT GUNS
