SKU	ProductName	Manufacturer	ProductDescription1	ProductDescription2	SubModelDescription	MainImageURL	ShippingWeight	Caliber	Velocity	Parentage	ParentSKU	MSRP	MAP	InStockDate	InStockQuantity	QBItem	WNet	SmallImageURL	Category	UPC	BuyButtonDisabled
PY-470	Super 9 bolt action rifle, Black	UHC	Here's a great rifle with great power. Includes the Hop-Up system and shoots 0.2g BBs. It has two BB feeding systems. For the fun of motion and action, use the rotary cartridge magazine which holds 5 shells. The shell casing ejects after each shot. Going for the capacity and not the fuss, try the direct feed tube magazine.		New generation of airsoft. &quot;HOP UP&quot; system. Velocity: ~ 420 FPS w/ .12g bbs, ~ 370FPS w/ .2g (recommended),  ~ 330FPS w/ .25g	http://www.pyramydair.com/images/Super-9-bolt-action-rifle-Black_LESOFT-314.jpg	4.54	0.24	370.00			99.99	64.95		100	LESOFT-314	55.69	http://www.pyramydair.com/images/Super-9-bolt-action-rifle-Black_LESOFT-314_sm.jpg	AIRSOFT GUNS	871110000422	false
PY-623	Crosman Stinger P30T	Crosman	The Crosman Stinger P30T Pistol is a sidearm that packs a serious punch in the field. This gun features a hop-up propulsion system for impeccable firing accuracy, 15 Rd magazine, and shoots at a velocity of 325 fps (using .12g BBs).  The spring-powered shooting of the Crosman Stinger P30 is an appealing option for airsoft enthusiasts. Spring-powered guns are known for their reliability in the field, and feature very few breakable components. Air gunners who are looking for a durable, skirmish-ready pistol should not miss this gun!       Features:  Clear Plastic Body Black grips Dispenser of 500 .12g BBs  		Crosman Stinger P30T - Clear Spring Pistol with Black Grips	http://www.pyramydair.com/images/Crosman-Stinger-P30T_CR-ASP30TC_airsoft_lg.jpg	0.91	0.24	325.00			24.25	19.95		100	CR-ASP30TC	15.29	http://www.pyramydair.com/images/Crosman-Stinger-P30T_CR-ASP30TC_airsoft_sm.jpg	AIRSOFT GUNS	028478134034	false
PY-634	Crosman Stinger R34 Airsoft Spring Rifle	Crosman	The Crosman Stinger R34 is an awesome airsoft battlefield weapon. This high powered gun excels in cqb situations, and is modeled after the special operations issued M4 rifle. The gun features an adjustable & removable stock, a 400 Rd magazine, and shoots at a velocity of 300 fps (using .20g BBs). The quad rail interface system also allows users to attach optional rifle scopes and flashlights with ease. Airsoft enthusiasts, own your enemies and order today! The Crosman Stinger R34 comes with: Spare magazine, cross hair sight, shoulder sling, and a dispenser of 500 airsoft BBs.      Features:  Magazine holds 18 plastic BBs. Reservoir holds up to 400 plastic BBs Barrel Material: Precision aluminum Safety: Lever  		Airsoft rifle	http://www.pyramydair.com/images/Crosman-Stinger-R34-Airsoft-Spring-Rifle_CRSASR34.jpg	4.54	0.24	300.00			59.99	32.95		100	CRSASR34	24.86	http://www.pyramydair.com/images/Crosman-Stinger-R34-Airsoft-Spring-Rifle_CRSASR34_sm.jpg	AIRSOFT GUNS	028478126077	false
PY-664	Crosman Stinger R34, Clear	Crosman	Modeled after artillery used by special ops soldiers, the Stinger R34 airsoft gun features a removable stock and an adjustable foregrip for increased stability. It comes with a four-sided rail structure to mount accessories like the included red cross sight for increased visibility, an LED flashlight, which illuminates your target, and the adjustable foregrip. And thanks to the Hop-Up system, you'll enjoy increased accuracy and distance. Not to mention, the quick reload chamber lets you replenish your plastic BBs as fast as you can shake them into place.		Clear airsoft rifle	http://www.pyramydair.com/images/CRSASR34C_lg.jpg	3.18	0.24	300.00			49.99	34.99	2014-05-20	0	CRSASR34C	29.58	http://www.pyramydair.com/images/CRSASR34C_sm.jpg	AIRSOFT GUNS	028478126138	false
PY-676	Desert Eagle .44 Magnum Spring Airsoft Pistol	Magnum Research	The Desert Eagle .44 Magnum Spring Airsoft Pistol is the ideal skirmish ready sidearm. Shown in classic black finish, this gun is an awesome 1:1 replica of its real firearm counterpart. The pistol features reliable spring-powered firing, a 28 Rd magazine, and a shot velocity of 225 fps (using .12g BBs). Spring airsoft guns are made with very few breakable components and are an excellent choice for airsoft enthusiasts who are looking for a gun with the right mix of power and precision. Must be manually cocked for each shot.           Features:  Tough ABS Plastic Construction  Adjustable BAXS System  		1/1 ScaleVelocity = 225 fps (.12g bb) / 170 fps (.20g bb) Body: Plastic Package: Clam Mag Capacity: 28 BBs	http://www.pyramydair.com/images/Desert-Eagle-44-Magnum_CG90121_airsoft_lg.jpg	1.86	0.24	225.00			34.99	14.95		100	CG90121	14.05	http://www.pyramydair.com/images/Desert-Eagle-44-Magnum_CG90121_airsoft_sm.jpg	AIRSOFT GUNS	806481901214	false
PY-702-1363	KJ Works M9-FM Airsoft Full Metal GasPistol 	KJ Works	The KJ M9 is the perfect gun for reliability, quality, performance, and practicality. Beautiful and realistic, this reliable full metal gas blow back is also very powerful. The slide kicks back hard and small recoil could be felt upon firing. This gun can shoot with green gas. The high capacity magazine holds 25 rounds.   Manufacturer: KJW Distributed by ASG Scale: 1:1 Full Size Replica Frame Material: Metal Slide Material: Metal Realistic Blowback Action Works With Optional CO2 Magazine for Higher FPS     Velocities: CO2 340-360 fps w/ .20g BBs 290-300 fps w/ .25g BBs  Green Gas 320-340 fps w/ .20g BBs 280-290 fps w/ .25g BBs 		KJW M9 Full Metal Airsoft Green Gas / Propane Blowback Pistol	http://www.pyramydair.com/images/KJ-Works-M9-Metal_KJ-M9FM_airsoft_lg.jpg	2.27	0.24	340.00	submodel	PY-702	149.99	109.99		100	ASG-50058	97.91	http://www.pyramydair.com/images/KJ-Works-M9-Metal_KJ-M9FM_airsoft_sm.jpg	AIRSOFT GUNS	5707843052832	false
PY-702-5362	KJ Works M9-FM Airsoft Full Metal GasPistol 	KJ Works	The KJ M9 is the perfect gun for reliability, quality, performance, and practicality. Beautiful and realistic, this reliable full metal gas blow back is also very powerful. The slide kicks back hard and small recoil could be felt upon firing. This gun can shoot with green gas. The high capacity magazine holds 25 rounds.   Manufacturer: KJW Distributed by ASG Scale: 1:1 Full Size Replica Frame Material: Metal Slide Material: Metal Realistic Blowback Action Works With Optional CO2 Magazine for Higher FPS     Velocities: CO2 340-360 fps w/ .20g BBs 290-300 fps w/ .25g BBs  Green Gas 320-340 fps w/ .20g BBs 280-290 fps w/ .25g BBs 		KJW M9 Full Metal Airsoft CO2 Blowback Pistol	http://www.pyramydair.com/images/KJ-Works-M9-Metal_KJ-M9FM_airsoft_lg.jpg	2.27	0.24	360.00	submodel	PY-702	169.99	129.99		100	ASG-50058	115.77	http://www.pyramydair.com/images/KJ-Works-M9-Metal_KJ-M9FM_airsoft_sm.jpg	AIRSOFT GUNS	5707843052832	false
PY-702	KJ Works M9-FM Airsoft Full Metal GasPistol 	KJ Works	The KJ M9 is the perfect gun for reliability, quality, performance, and practicality. Beautiful and realistic, this reliable full metal gas blow back is also very powerful. The slide kicks back hard and small recoil could be felt upon firing. This gun can shoot with green gas. The high capacity magazine holds 25 rounds.   Manufacturer: KJW Distributed by ASG Scale: 1:1 Full Size Replica Frame Material: Metal Slide Material: Metal Realistic Blowback Action Works With Optional CO2 Magazine for Higher FPS     Velocities: CO2 340-360 fps w/ .20g BBs 290-300 fps w/ .25g BBs  Green Gas 320-340 fps w/ .20g BBs 280-290 fps w/ .25g BBs 			http://www.pyramydair.com/images/KJ-Works-M9-Metal_KJ-M9FM_airsoft_lg.jpg	2.27	0.24	360.00	model		169.99	129.99				0.00	http://www.pyramydair.com/images/KJ-Works-M9-Metal_KJ-M9FM_airsoft_sm.jpg	AIRSOFT GUNS	5707843052832	false
PY-743-1413	UHC 92 Spring Airsoft  Pistol, Black	UHC	The UHC 92 Black Spring Pistol is a rugged and accurate sidearm that won't fail to impress competitors in the field. This heavyweight gun is a 1:1 scale replica of its reliable military-issued firearm counterpart and features a hop-up shooting system, working hammer, and a shot velocity of 240 fps. Spring airsoft guns are an excellent choice for airsoft enthusiasts who are looking for a reliable, battle-ready gun with a great balance of power and performance.       Features:  Black Plastic Body & Handlegrips Spring Cocking Air Piston System Comes with pack of 100 BBs.  		Airsoft Spring UHC 92 Black Pistol Distributed by Leapers	http://www.pyramydair.com/images/UHC-92-Spring-Black_LESOFT-U958BH_airsoft_lg.jpg	1.36	0.24	240.00	submodel	PY-743	25.00	17.95		100	LESOFT-U958BH	14.38	http://www.pyramydair.com/images/UHC-92-Spring-Black_LESOFT-U958BH_airsoft_sm.jpg	AIRSOFT GUNS	4712274529366	false
PY-743-6033	UHC 92 Spring Airsoft  Pistol, Black	UHC	The UHC 92 Black Spring Pistol is a rugged and accurate sidearm that won't fail to impress competitors in the field. This heavyweight gun is a 1:1 scale replica of its reliable military-issued firearm counterpart and features a hop-up shooting system, working hammer, and a shot velocity of 240 fps. Spring airsoft guns are an excellent choice for airsoft enthusiasts who are looking for a reliable, battle-ready gun with a great balance of power and performance.       Features:  Black Plastic Body & Handlegrips Spring Cocking Air Piston System Comes with pack of 100 BBs.  		Airsoft Spring UHC 92 Black Pistol Distributed by TSD	http://www.pyramydair.com/images/UHC-92-Spring-Black_LESOFT-U958BH_airsoft_lg.jpg	1.36	0.24	240.00	submodel	PY-743	25.00	17.90		100	SDUA958BH	13.92	http://www.pyramydair.com/images/UHC-92-Spring-Black_LESOFT-U958BH_airsoft_sm.jpg	AIRSOFT GUNS		false
